config_id,config,city,query_v
c_p_143_pop_high_hard,"{'p_id': 'p_143', 'persona': 'A former printing press worker who witnessed the transition from print to digital media', 'filters': {'popularity': 'high', 'month': 'February', 'budget': 'high', 'interests': 'Arts & Entertainment'}}","['Zurich', 'Warsaw', 'Vienna', 'Valencia', 'Toulouse', 'Stuttgart', 'Strasbourg', 'Stockholm', 'Salzburg', 'Rome', 'Prague', 'Porto', 'Paris', 'Naples', 'Munich', 'Milan', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Lille', 'Helsinki', 'Hamburg', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Copenhagen', 'Cagliari', 'Brussels', 'Bordeaux', 'Bologna', 'Berlin', 'Bergen', 'Barcelona', 'Amsterdam']","""Recommend European cities for a high-budget trip in March with a focus on arts, culture, and nightlife, avoiding cities with low seasons."""
c_p_15_pop_high_hard,"{'p_id': 'p_15', 'persona': 'A patient who seeks therapy and values evidence-based approaches to address their mental health concerns', 'filters': {'popularity': 'high', 'month': 'December', 'interests': 'Shops & Services', 'budget': 'high'}}","['Zurich', 'Vienna', 'Stuttgart', 'Stockholm', 'Salzburg', 'Porto', 'Naples', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Helsinki', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Brussels', 'Berlin', 'Bergen', 'Barcelona', 'Amsterdam']","""High budget European cities to visit in December with popular attractions and seasonal activities."""
c_p_5_pop_high_hard,"{'p_id': 'p_5', 'persona': 'an average Ukrainian citizen who is indifferent to politics', 'filters': {'popularity': 'high', 'budget': 'high', 'month': 'September', 'interests': 'Outdoors & Recreation'}}","['Zurich', 'Warsaw', 'Valencia', 'Toulouse', 'Stuttgart', 'Stockholm', 'Salzburg', 'Prague', 'Porto', 'Paris', 'Naples', 'Munich', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Helsinki', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Copenhagen', 'Cagliari', 'Brussels', 'Bologna', 'Berlin', 'Bergen', 'Barcelona', 'Amsterdam']","""Popular and expensive European cities to visit in September with lakes, gardens, and historical landmarks."""
c_p_155_pop_high_hard,"{'p_id': 'p_155', 'persona': 'a digital transformation consultant specializing in the food and beverage industry', 'filters': {'popularity': 'high', 'interests': 'Outdoors & Recreation', 'month': 'September', 'budget': 'high'}}","['Zurich', 'Warsaw', 'Valencia', 'Toulouse', 'Stuttgart', 'Stockholm', 'Salzburg', 'Prague', 'Porto', 'Paris', 'Naples', 'Munich', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Helsinki', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Copenhagen', 'Cagliari', 'Brussels', 'Bologna', 'Berlin', 'Bergen', 'Barcelona', 'Amsterdam']","""European city breaks in September with high-end activities and sightseeing opportunities."""
c_p_116_pop_high_hard,"{'p_id': 'p_116', 'persona': 'An entrepreneurial florist who creates arrangements for hospital patients to brighten their rooms', 'filters': {'popularity': 'high', 'month': 'October', 'interests': 'Outdoors & Recreation', 'budget': 'high'}}","['Zurich', 'Warsaw', 'Valencia', 'Toulouse', 'Stuttgart', 'Stockholm', 'Salzburg', 'Prague', 'Porto', 'Paris', 'Naples', 'Munich', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Helsinki', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Copenhagen', 'Cagliari', 'Brussels', 'Bologna', 'Berlin', 'Bergen', 'Barcelona', 'Amsterdam']",High budget European city breaks in October with outdoor activities and sightseeing.
c_p_162_pop_high_medium,"{'p_id': 'p_162', 'persona': 'An experienced LaTeX user familiar with software troubleshooting', 'filters': {'popularity': 'high', 'interests': 'Nightlife Spot', 'month': 'September'}}","['Zurich', 'Zagreb', 'Volgograd', 'Vilnius', 'Vienna', 'Valencia', 'Tirana', 'Tbilisi', 'Tallinn', 'Stuttgart', 'Sofia', 'Sarajevo', 'Samara', 'Salzburg', 'Prague', 'Porto', 'Paris', 'Nicosia', 'Naples', 'Munich', 'Minsk', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Lille', 'Kazan', 'Kaliningrad', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Copenhagen', 'Budapest', 'Brussels', 'Bratislava', 'Bordeaux', 'Bologna', 'Berlin', 'Bergen', 'Belgrade', 'Baku', 'Ankara', 'Amsterdam']","""European cities with vibrant nightlife and popular museums to visit in September."""
c_p_113_pop_high_medium,"{'p_id': 'p_113', 'persona': 'a Jewish politics enthusiast from the United States', 'filters': {'popularity': 'high', 'budget': 'high', 'interests': 'Outdoors & Recreation'}}","['Zurich', 'Warsaw', 'Valencia', 'Toulouse', 'Stuttgart', 'Stockholm', 'Salzburg', 'Prague', 'Porto', 'Paris', 'Naples', 'Munich', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Helsinki', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Copenhagen', 'Cagliari', 'Brussels', 'Bologna', 'Berlin', 'Bergen', 'Barcelona', 'Amsterdam']","""European city breaks with high-end cultural experiences and outdoor activities."""
c_p_130_pop_high_medium,"{'p_id': 'p_130', 'persona': 'A fervent collector of air rifles.', 'filters': {'popularity': 'high', 'interests': 'Food', 'budget': 'high'}}","['Zurich', 'Warsaw', 'Vienna', 'Valencia', 'Toulouse', 'Stuttgart', 'Strasbourg', 'Stockholm', 'Salzburg', 'Rome', 'Prague', 'Porto', 'Paris', 'Naples', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Lille', 'Helsinki', 'Hamburg', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Cagliari', 'Brussels', 'Bordeaux', 'Bologna', 'Berlin', 'Bergen', 'Barcelona', 'Amsterdam']",What are some European cities with high-end restaurants and bars that are great for a luxurious city trip?
c_p_131_pop_high_medium,"{'p_id': 'p_131', 'persona': 'A metal supplier who provides the finest quality materials for train restoration projects', 'filters': {'popularity': 'high', 'interests': 'Nightlife Spot', 'month': 'March'}}","['Zurich', 'Zagreb', 'Volgograd', 'Vilnius', 'Vienna', 'Valencia', 'Tirana', 'Tbilisi', 'Tallinn', 'Stuttgart', 'Sofia', 'Sarajevo', 'Samara', 'Salzburg', 'Prague', 'Porto', 'Paris', 'Nicosia', 'Naples', 'Munich', 'Minsk', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Lille', 'Kazan', 'Kaliningrad', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Copenhagen', 'Budapest', 'Brussels', 'Bratislava', 'Bordeaux', 'Bologna', 'Berlin', 'Bergen', 'Belgrade', 'Baku', 'Ankara', 'Amsterdam']",What are some European cities with great nightlife and cultural attractions that are less crowded in March?
c_p_94_pop_high_medium,"{'p_id': 'p_94', 'persona': 'A popular Twitch streamer with a large following, known for their exceptional multiplayer gameplay', 'filters': {'popularity': 'high', 'budget': 'low', 'interests': 'Outdoors & Recreation'}}","['Zagreb', 'Tirana', 'Tbilisi', 'Sofia', 'Samara', 'Riga', 'Perm', 'Moscow', 'Minsk', 'Krasnodar', 'Kazan', 'Kaliningrad', 'Izmir', 'Baku', 'Ankara']","""Looking for a budget-friendly European city break with outdoor activities, cultural experiences, and a lively atmosphere."""
c_p_67_pop_high_sustainable,"{'p_id': 'p_67', 'persona': 'An enthusiast of historic architecture and a devoted citizen of Sunbury.', 'filters': {'popularity': 'high', 'month': 'March', 'interests': 'Food', 'seasonality': 'low'}}","['Zurich', 'Zagreb', 'Warsaw', 'Vilnius', 'Vienna', 'Toulouse', 'Tirana', 'Tbilisi', 'Tallinn', 'Stuttgart', 'Strasbourg', 'Stockholm', 'Sofia', 'Sarajevo', 'Samara', 'Salzburg', 'Riga', 'Prague', 'Porto', 'Perm', 'Paris', 'Nicosia', 'Naples', 'Moscow', 'Minsk', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Lille', 'Krasnodar', 'Kazan', 'Kaliningrad', 'Izmir', 'Helsinki', 'Hamburg', 'Dublin', 'Dresden', 'Cork', 'Cagliari', 'Budapest', 'Brussels', 'Bratislava', 'Bordeaux', 'Berlin', 'Bergen', 'Belgrade', 'Barcelona', 'Baku', 'Antalya', 'Ankara', 'Amsterdam']",Looking for a European city trip in March with great food and drink options.
c_p_0_pop_high_sustainable,"{'p_id': 'p_0', 'persona': 'A top-scoring player in the local league who is also eyeing a professional career in the NHL', 'filters': {'popularity': 'high', 'budget': 'high', 'interests': 'Arts & Entertainment', 'walkability': 'great'}}","['Zurich', 'Warsaw', 'Vienna', 'Valencia', 'Toulouse', 'Stuttgart', 'Stockholm', 'Salzburg', 'Rome', 'Prague', 'Porto', 'Paris', 'Naples', 'Munich', 'Milan', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Lille', 'Helsinki', 'Hamburg', 'Geneva', 'Dublin', 'Dresden', 'Cork', 'Copenhagen', 'Cagliari', 'Brussels', 'Bordeaux', 'Bologna', 'Berlin', 'Bergen', 'Barcelona', 'Amsterdam']","""Recommend European cities with great walkability, a high budget, and a variety of cultural events, such as concerts, theater performances, and art exhibitions."""
c_p_43_pop_high_sustainable,"{'p_id': 'p_43', 'persona': 'A bilingual child whose language development is being monitored over time', 'filters': {'popularity': 'high', 'month': 'March', 'interests': 'Outdoors & Recreation', 'seasonality': 'low'}}","['Zurich', 'Zagreb', 'Warsaw', 'Vilnius', 'Toulouse', 'Tirana', 'Tbilisi', 'Tallinn', 'Stuttgart', 'Stockholm', 'Sofia', 'Sarajevo', 'Samara', 'Salzburg', 'Riga', 'Prague', 'Porto', 'Perm', 'Paris', 'Nicosia', 'Naples', 'Munich', 'Moscow', 'Minsk', 'Madrid', 'Lyon', 'London', 'Ljubljana', 'Krasnodar', 'Kazan', 'Kaliningrad', 'Izmir', 'Helsinki', 'Dublin', 'Dresden', 'Cork', 'Copenhagen', 'Cagliari', 'Budapest', 'Brussels', 'Bratislava', 'Berlin', 'Bergen', 'Belgrade', 'Barcelona', 'Baku', 'Ankara', 'Amsterdam']","""European cities with high popularity, low season in March, and outdoor activities."""
c_p_68_pop_high_sustainable,"{'p_id': 'p_68', 'persona': ""A younger sibling who is often overshadowed by their older sibling's achievements"", 'filters': {'popularity': 'high', 'month': 'May', 'interests': 'Arts & Entertainment', 'aqi': 'great'}}","['Zurich', 'Zagreb', 'Vienna', 'Valencia', 'Toulouse', 'Stuttgart', 'Stockholm', 'Salzburg', 'Rome', 'Porto', 'Munich', 'Lyon', 'Ljubljana', 'Lille', 'Izmir', 'Helsinki', 'Hamburg', 'Geneva', 'Dublin', 'Dresden', 'Copenhagen', 'Budapest', 'Brussels', 'Bratislava', 'Bordeaux', 'Berlin', 'Barcelona', 'Amsterdam']","""Recommend European cities with great air quality, a vibrant cultural scene, and plenty of options for live music and theater performances in May."""
c_p_38_pop_high_sustainable,"{'p_id': 'p_38', 'persona': ""A fashion marketing student who seeks to understand the market's response to rebellious fashion trends"", 'filters': {'popularity': 'high', 'month': 'April', 'interests': 'Arts & Entertainment', 'seasonality': 'low'}}","['Volgograd', 'Vilnius', 'Tirana', 'Tallinn', 'Stockholm', 'Sarajevo', 'Samara', 'Saint Petersburg', 'Moscow', 'Minsk', 'Ljubljana', 'Kazan', 'Kaliningrad', 'Helsinki', 'Geneva', 'Berlin', 'Bergen']","""European cities with high popularity, low season in April, and a variety of cultural attractions, nightlife, and restaurants."""
c_p_118_pop_low_medium,"{'p_id': 'p_118', 'persona': 'A laid-back blogger who uses colloquial language and frequently teases their sibling about grammar obsession', 'filters': {'popularity': 'low', 'month': 'February', 'interests': 'Arts & Entertainment'}}","['Vladikavkaz', 'Vitoria-Gasteiz', 'Uzhhorod', 'Trabzon', 'Thessaloniki', 'Syktyvkar', 'Samsun', 'Rivne', 'Nevsehir', 'Miskolc', 'Malatya', 'Konya', 'Kayseri', 'Kars', 'Ioannina', 'Gaziantep', 'Debrecen', 'Craiova', 'Burgas', 'Arkhangelsk', 'Adana']","""Looking for a budget-friendly European city trip in February with low popularity, cultural attractions, and evening entertainment options."""
c_p_24_pop_low_medium,"{'p_id': 'p_24', 'persona': 'A franchise owner of a major retail brand planning to establish a branch in the town', 'filters': {'popularity': 'low', 'month': 'September', 'interests': 'Food'}}","['Vladikavkaz', 'Uzhhorod', 'Trabzon', 'Thessaloniki', 'Sivas', 'Samsun', 'Rivne', 'Miskolc', 'Malatya', 'Konya', 'Kayseri', 'Ioannina', 'Gaziantep', 'Debrecen', 'Craiova', 'Burgas', 'Arkhangelsk', 'Adana']","""Less crowded European cities to visit in September with historic restaurants and museums."""
c_p_119_pop_low_medium,"{'p_id': 'p_119', 'persona': 'An immigration officer sharing real-world experiences of working at border control', 'filters': {'popularity': 'low', 'month': 'December', 'interests': 'Outdoors & Recreation'}}","['Van', 'Uzhhorod', 'Trabzon', 'Thessaloniki', 'Sivas', 'Samsun', 'Rivne', 'Nevsehir', 'Miskolc', 'Malatya', 'Konya', 'Ioannina', 'Debrecen', 'Craiova', 'Burgas', 'Baia Mare', 'Arkhangelsk', 'Adana']","""European cities with monasteries and low season in December, but with some outdoor activities."""
c_p_60_pop_low_medium,"{'p_id': 'p_60', 'persona': 'A refugee child who has been treated by the nurse practitioner and shares their inspiring story', 'filters': {'popularity': 'low', 'interests': 'Arts & Entertainment', 'month': 'December'}}","['Vladikavkaz', 'Vitoria-Gasteiz', 'Uzhhorod', 'Trabzon', 'Thessaloniki', 'Syktyvkar', 'Samsun', 'Rivne', 'Nevsehir', 'Miskolc', 'Malatya', 'Konya', 'Kayseri', 'Kars', 'Ioannina', 'Gaziantep', 'Debrecen', 'Craiova', 'Burgas', 'Arkhangelsk', 'Adana']","""Less crowded European cities to visit in December with historical sites, cultural events, and nightlife."""
c_p_77_pop_low_medium,"{'p_id': 'p_77', 'persona': 'A dedicated PhD candidate who is focusing on the study of volcanoes and the subsequent effects on nearby flora and fauna', 'filters': {'popularity': 'low', 'month': 'February', 'interests': 'Nightlife Spot'}}","['Trabzon', 'Thessaloniki', 'Rivne', 'Nevsehir', 'Miskolc', 'Malatya', 'Debrecen', 'Craiova', 'Burgas', 'Adana']","""European cities with museums, low season in February, and affordable nightlife options."""
c_p_113_pop_low_sustainable,"{'p_id': 'p_113', 'persona': 'a Jewish politics enthusiast from the United States', 'filters': {'popularity': 'low', 'interests': 'Arts & Entertainment', 'month': 'March', 'walkability': 'great'}}","['Thessaloniki', 'Syktyvkar', 'Rivne', 'Malatya', 'Konya', 'Kayseri', 'Kars', 'Ioannina', 'Burgas', 'Adana']","""Unconventional European cities to visit in March with cultural events and great walkability."""
c_p_147_pop_low_sustainable,"{'p_id': 'p_147', 'persona': 'A geography teacher who creates educational videos showcasing different cultures and landmarks around the world', 'filters': {'popularity': 'low', 'month': 'September', 'interests': 'Arts & Entertainment', 'walkability': 'great'}}","['Thessaloniki', 'Syktyvkar', 'Rivne', 'Malatya', 'Konya', 'Kayseri', 'Kars', 'Ioannina', 'Burgas', 'Adana']","""European cities with low popularity, great walkability, and high or medium season in September, with attractions like museums, historical sites, and cultural events."""
c_p_3_pop_low_sustainable,"{'p_id': 'p_3', 'persona': 'a film critic who dislikes storylines involving clones in movies', 'filters': {'popularity': 'low', 'interests': 'Outdoors & Recreation', 'month': 'January', 'seasonality': 'low'}}","['Van', 'Uzhhorod', 'Trabzon', 'Thessaloniki', 'Sivas', 'Samsun', 'Rivne', 'Nevsehir', 'Miskolc', 'Malatya', 'Konya', 'Ioannina', 'Debrecen', 'Craiova', 'Burgas', 'Baia Mare', 'Arkhangelsk', 'Adana']","""European cities with low popularity, monasteries, and outdoor activities to visit in non-winter months."""
c_p_169_pop_low_sustainable,"{'p_id': 'p_169', 'persona': 'A renewable energy company outsourcing MATLAB programming for optimizing their software systems', 'filters': {'popularity': 'low', 'interests': 'Arts & Entertainment', 'month': 'December', 'seasonality': 'low'}}","['Vladikavkaz', 'Vitoria-Gasteiz', 'Trabzon', 'Thessaloniki', 'Samsun', 'Nevsehir', 'Miskolc', 'Malatya', 'Kayseri', 'Debrecen', 'Burgas', 'Arkhangelsk']","""off the beaten path destinations in Eastern Europe with low season in December, with theaters and cultural attractions"""
c_p_54_pop_low_sustainable,"{'p_id': 'p_54', 'persona': ""A wanderlust-filled trader who appreciates and sells the artisan's creations in different corners of the world"", 'filters': {'popularity': 'low', 'interests': 'Arts & Entertainment', 'month': 'November', 'seasonality': 'low'}}","['Vladikavkaz', 'Vitoria-Gasteiz', 'Uzhhorod', 'Trabzon', 'Samsun', 'Rivne', 'Nevsehir', 'Miskolc', 'Malatya', 'Konya', 'Kayseri', 'Kars', 'Ioannina', 'Debrecen', 'Burgas', 'Arkhangelsk']",I'm ready to generate a query for the travel recommender system.
c_p_136_pop_medium_hard,"{'p_id': 'p_136', 'persona': 'A widely respected professional kayaker who conducts training workshops for upcoming talent', 'filters': {'popularity': 'medium', 'interests': 'Arts & Entertainment', 'month': 'October', 'budget': 'low'}}","['Szczecin', 'Skopje', 'Sibiu', 'Rijeka', 'Podgorica', 'Plovdiv', 'Perugia', 'Lviv', 'Kharkiv', 'Kaunas', 'Erfurt']","Looking for a low-budget European city trip in October with medium popularity, offering a mix of historical sites, cultural events, and nightlife, including live music and jazz clubs."
c_p_92_pop_medium_hard,"{'p_id': 'p_92', 'persona': 'a philosophy student who admires the works of Professor Burch', 'filters': {'popularity': 'medium', 'interests': 'Outdoors & Recreation', 'budget': 'high', 'month': 'December'}}","['Turku', 'Tampere', 'Stavanger', 'Santander', 'Rennes', 'Oradea', 'Nantes', 'Innsbruck', 'Dijon', 'Bremen', 'Aalborg']","""European city breaks in December with outdoor activities and high-end budget."""
c_p_196_pop_medium_hard,"{'p_id': 'p_196', 'persona': 'A model enthusiast from a different country, offering a unique perspective and cultural influence on model-building', 'filters': {'popularity': 'medium', 'interests': 'Outdoors & Recreation', 'month': 'October', 'budget': 'high'}}","['Turku', 'Tampere', 'Stavanger', 'Santander', 'Rennes', 'Oradea', 'Nantes', 'Innsbruck', 'Dijon', 'Bremen', 'Aalborg']","Looking for a European city with a high budget and medium popularity, where I can enjoy outdoor activities like hiking, sports, and visiting parks and zoos, and also experience local culture through food and drink."
c_p_36_pop_medium_hard,"{'p_id': 'p_36', 'persona': 'A transportation planner seeking to communicate complex movement patterns to stakeholders and the public', 'filters': {'popularity': 'medium', 'interests': 'Nightlife Spot', 'budget': 'high', 'month': 'March'}}","['Turku', 'Tampere', 'Stavanger', 'Santander', 'Rouen', 'Rennes', 'Pamplona', 'Innsbruck', 'Bremen', 'Aalborg']","""European city breaks in March with museums, bars, and high-end budget activities."""
c_p_167_pop_medium_hard,"{'p_id': 'p_167', 'persona': 'A promising medical student eager to gain understanding about safety procedures concerning radiation', 'filters': {'popularity': 'medium', 'budget': 'high', 'interests': 'Outdoors & Recreation', 'month': 'December'}}","['Turku', 'Tampere', 'Stavanger', 'Santander', 'Rennes', 'Oradea', 'Nantes', 'Innsbruck', 'Dijon', 'Bremen', 'Aalborg']","""Medium budget winter sports destinations in Europe with outdoor activities"""
c_p_160_pop_medium_medium,"{'p_id': 'p_160', 'persona': 'A virtual assistant that provides them with brief, to-the-point summaries of important emails and documents', 'filters': {'popularity': 'medium', 'month': 'May', 'interests': 'Arts & Entertainment'}}","['Zaragoza', 'Voronezh', 'Turku', 'Tampere', 'Szczecin', 'Stavanger', 'Skopje', 'Sibiu', 'Santander', 'Rouen', 'Rijeka', 'Rennes', 'Pskov', 'Podgorica', 'Plovdiv', 'Petrozavodsk', 'Perugia', 'Pamplona', 'Oradea', 'Novi Sad', 'Nantes', 'Murmansk', 'Magdeburg', 'Maastricht', 'Lviv', 'Kutaisi', 'Kiel', 'Kharkiv', 'Kaunas', 'Innsbruck', 'Erfurt', 'Donetsk', 'Dijon', 'Coimbra', 'Cluj-Napoca', 'Bydgoszcz', 'Brno', 'Bremen', 'Braga', 'Bari', 'Astrakhan', 'Ancona', 'Aalborg']","""European cities with live music venues and cultural events in May"""
c_p_98_pop_medium_medium,"{'p_id': 'p_98', 'persona': 'a fellow mountaineer who admires daredevils.', 'filters': {'popularity': 'medium', 'interests': 'Shops & Services', 'month': 'January'}}","['Turku', 'Tampere', 'Szczecin', 'Stavanger', 'Skopje', 'Santander', 'Rijeka', 'Murmansk', 'Maastricht', 'Lviv', 'Kutaisi', 'Kiel', 'Kharkiv', 'Kaunas', 'Erfurt', 'Donetsk', 'Cluj-Napoca', 'Bydgoszcz', 'Brno', 'Bremen', 'Bari']","""Medium-sized European cities with low season in January and various attractions like museums, historic sites, and ski resorts."""
c_p_133_pop_medium_medium,"{'p_id': 'p_133', 'persona': 'A researcher who is working on a project related to IT infrastructure and cloud computing', 'filters': {'popularity': 'medium', 'interests': 'Shops & Services', 'month': 'October'}}","['Turku', 'Tampere', 'Szczecin', 'Stavanger', 'Skopje', 'Santander', 'Rijeka', 'Murmansk', 'Maastricht', 'Lviv', 'Kutaisi', 'Kiel', 'Kharkiv', 'Kaunas', 'Erfurt', 'Donetsk', 'Cluj-Napoca', 'Bydgoszcz', 'Brno', 'Bremen', 'Bari']","""European cities with medium popularity, medium season in October, and various attractions like museums, historic sites, and markets."""
c_p_80_pop_medium_medium,"{'p_id': 'p_80', 'persona': 'a raving fan of Ichthyology who loves reading about exotic fish species', 'filters': {'popularity': 'medium', 'interests': 'Nightlife Spot', 'month': 'September'}}","['Zaragoza', 'Turku', 'Tampere', 'Szczecin', 'Stavanger', 'Skopje', 'Santander', 'Rouen', 'Rijeka', 'Rennes', 'Perugia', 'Pamplona', 'Novi Sad', 'Murmansk', 'Magdeburg', 'Maastricht', 'Lviv', 'Kutaisi', 'Klagenfurt', 'Kirov', 'Kiel', 'Kharkiv', 'Kaunas', 'Innsbruck', 'Donetsk', 'Cluj-Napoca', 'Chelyabinsk', 'Bydgoszcz', 'Brno', 'Bremen', 'Aalborg']","""Looking for a European city trip in September with medium popularity and medium to high season, where I can enjoy a mix of culture, history, and nightlife, with options for drinking and dining, and possibly some museums and outdoor activities."""
c_p_78_pop_medium_medium,"{'p_id': 'p_78', 'persona': 'a young start-up entrepreneur interested in proceeding with professional development in Botswana', 'filters': {'popularity': 'medium', 'interests': 'Outdoors & Recreation', 'budget': 'high'}}","['Turku', 'Tampere', 'Stavanger', 'Santander', 'Rennes', 'Oradea', 'Nantes', 'Innsbruck', 'Dijon', 'Bremen', 'Aalborg']","""European cities with outdoor activities and high-end amenities."""
c_p_120_pop_medium_sustainable,"{'p_id': 'p_120', 'persona': 'A regulatory compliance officer seeking guidance on ensuring model transparency in their organization', 'filters': {'popularity': 'medium', 'budget': 'low', 'interests': 'Arts & Entertainment', 'walkability': 'great'}}","['Szczecin', 'Skopje', 'Sibiu', 'Rijeka', 'Podgorica', 'Plovdiv', 'Perugia', 'Lviv', 'Kharkiv', 'Kaunas', 'Erfurt']","""Looking for a budget-friendly European city break with great walkability, live music venues, and historic landmarks to explore."""
c_p_47_pop_medium_sustainable,"{'p_id': 'p_47', 'persona': ""a member of a women's rights advocacy group in South Africa."", 'filters': {'popularity': 'medium', 'month': 'December', 'interests': 'Arts & Entertainment', 'aqi': 'great'}}","['Tampere', 'Szczecin', 'Stavanger', 'Santander', 'Rouen', 'Rijeka', 'Plovdiv', 'Pamplona', 'Oradea', 'Nantes', 'Lviv', 'Innsbruck', 'Dijon', 'Brno', 'Bremen', 'Astrakhan']","""Recommend European cities with great air quality, medium popularity, and a variety of cultural attractions and nightlife options, to visit in December."""
c_p_14_pop_medium_sustainable,"{'p_id': 'p_14', 'persona': 'a nationalist Indian politician', 'filters': {'popularity': 'medium', 'month': 'June', 'interests': 'Arts & Entertainment', 'walkability': 'great'}}","['Turku', 'Tampere', 'Szczecin', 'Stavanger', 'Skopje', 'Sibiu', 'Santander', 'Rouen', 'Rijeka', 'Podgorica', 'Plovdiv', 'Perugia', 'Oradea', 'Nantes', 'Lviv', 'Kharkiv', 'Kaunas', 'Innsbruck', 'Erfurt', 'Dijon', 'Coimbra', 'Brno', 'Bremen', 'Braga', 'Bari', 'Astrakhan', 'Aalborg']","""Recommend a European city for a 4-day trip in June with great walkability, medium popularity, and a medium to high season, offering a mix of cultural events, live music, and historic landmarks to visit."""
c_p_28_pop_medium_sustainable,"{'p_id': 'p_28', 'persona': 'an orthopedic surgeon relatively new to AOSSM', 'filters': {'popularity': 'medium', 'month': 'February', 'interests': 'Outdoors & Recreation', 'aqi': 'great'}}","['Tampere', 'Szczecin', 'Stavanger', 'Santander', 'Rijeka', 'Oradea', 'Nantes', 'Lviv', 'Innsbruck', 'Dijon', 'Bursa', 'Brno', 'Bremen']","""medium budget trip to European cities with great air quality and outdoor activities in February, avoiding high season"""
c_p_150_pop_medium_sustainable,"{'p_id': 'p_150', 'persona': 'A retired wide receiver who understands the challenges and pressures of being a quarterback', 'filters': {'popularity': 'medium', 'interests': 'Shops & Services', 'month': 'November', 'seasonality': 'low'}}","['Turku', 'Tampere', 'Szczecin', 'Stavanger', 'Santander', 'Rijeka', 'Murmansk', 'Maastricht', 'Lviv', 'Kutaisi', 'Kiel', 'Kaunas', 'Donetsk', 'Brno', 'Bremen']","""European cities with a Christmas market in December and a variety of tea houses"""
c_p_126_pop_low_sustainable,"{'p_id': 'p_126', 'persona': 'A kindergarten teacher who uses storytelling and role-playing to help children understand the importance of oral hygiene', 'filters': {'popularity': 'low', 'month': 'January', 'interests': 'Outdoors & Recreation', 'seasonality': 'low'}}","['Van', 'Uzhhorod', 'Trabzon', 'Thessaloniki', 'Sivas', 'Samsun', 'Rivne', 'Nevsehir', 'Miskolc', 'Malatya', 'Konya', 'Ioannina', 'Debrecen', 'Craiova', 'Burgas', 'Baia Mare', 'Arkhangelsk', 'Adana']","Looking for a low-budget, off-the-beaten-path European city trip in January with historical sites and outdoor activities."
c_p_31_pop_low_sustainable,"{'p_id': 'p_31', 'persona': 'A novice cryptocurrency investor who is new to tracking and converting currency rates', 'filters': {'popularity': 'low', 'month': 'November', 'interests': 'Food', 'seasonality': 'low'}}","['Vladikavkaz', 'Uzhhorod', 'Trabzon', 'Sivas', 'Samsun', 'Rivne', 'Miskolc', 'Malatya', 'Konya', 'Kayseri', 'Ioannina', 'Debrecen', 'Burgas', 'Arkhangelsk']","""Less crowded European cities to visit in November with traditional food and historic sites."""
c_p_94_pop_low_sustainable,"{'p_id': 'p_94', 'persona': 'A popular Twitch streamer with a large following, known for their exceptional multiplayer gameplay', 'filters': {'popularity': 'low', 'interests': 'Arts & Entertainment', 'month': 'September', 'walkability': 'great'}}","['Thessaloniki', 'Syktyvkar', 'Rivne', 'Malatya', 'Konya', 'Kayseri', 'Kars', 'Ioannina', 'Burgas', 'Adana']","""less crowded European cities with museums and live music events in September"""
c_p_12_pop_low_sustainable,"{'p_id': 'p_12', 'persona': 'A high school guidance counselor in Winnebago County', 'filters': {'popularity': 'low', 'interests': 'Arts & Entertainment', 'month': 'July', 'walkability': 'great'}}","['Thessaloniki', 'Syktyvkar', 'Rivne', 'Malatya', 'Konya', 'Kayseri', 'Kars', 'Ioannina', 'Burgas', 'Adana']","""European cities with low popularity, great walkability, and a vibrant cultural scene, to visit in July, with museums, historical landmarks, and nightlife options."""
c_p_177_pop_low_sustainable,"{'p_id': 'p_177', 'persona': 'A passionate advocate for noise pollution reduction, working to protect communities', 'filters': {'popularity': 'low', 'month': 'January', 'interests': 'Nightlife Spot', 'seasonality': 'low'}}","['Trabzon', 'Thessaloniki', 'Rivne', 'Nevsehir', 'Miskolc', 'Malatya', 'Debrecen', 'Craiova', 'Burgas', 'Adana']","""European cities with low season in January and nightlife options like discos, pubs, and bars."""
